rank,lemma,english,pos,level,freq_score,freq_tier,register,tokens
95,nieuw,new,adjective,1,27.55,A,everyday,"['nieuw', 'nieuwe', 'nieuwere', 'nieuwste', 'nieuwtje']"
96,eten,food,verb,1,27.55,A,everyday,"['eet', 'eten', 'etende', 'etentje', 'gegeten']"
97,helpen,help,verb,1,27.5,A,everyday,"['geholpen', 'helpe', 'helpen', 'helpende', 'helpt']"
98,creëren,create,verb,1,27.48,A,everyday,"['creëerde', 'creëerden', 'creëert', 'creëren', 'gecreëerd', 'gecreëerde']"
99,bekend,not,adjective,1,27.45,A,everyday,"['bekend', 'bekende', 'bekenden', 'bekendere', 'bekendste']"
100,bewegen,move,verb,1,27.42,A,everyday,"['beweegt', 'bewegen', 'bewegend', 'bewegende', 'bewogen', 'bewoog']"
101,vertrekken,leaving,verb,1,27.42,A,everyday,"['vertrekken', 'vertrekkend', 'vertrekkende', 'vertrekt', 'vertrok', 'vertrokken']"
102,zorgen,worry,verb,1,27.3,A,everyday,"['gezorgd', 'zorgde', 'zorgden', 'zorgen', 'zorgt']"
103,lijden,suffering,verb,1,27.06,A,everyday,"['geleden', 'leed', 'lijden', 'lijdend', 'lijdende', 'lijdt']"
104,leren,learning,verb,1,27.05,A,everyday,"['geleerd', 'leerde', 'leert', 'leren', 'lerende']"
105,kind,child,noun,1,26.8,A,everyday,"['kind', 'kinderen', 'kindje', 'kindjes', 'kinds']"
106,boek,book,noun,1,26.75,A,everyday,"['boek', 'boeke', 'boeken', 'boekje', 'boekjes']"
107,lekker,tasty,adjective,1,26.75,A,everyday,"['lekker', 'lekkere', 'lekkers', 'lekkerste', 'lekkertje']"
108,verdedigen,defend,noun,1,26.64,A,everyday,"['verdedigd', 'verdedigde', 'verdedigden', 'verdedigend', 'verdedigende', 'verdedigt']"
109,halen,fetch,verb,1,26.6,A,everyday,"['gehaald', 'haalde', 'haalden', 'haalt', 'halen']"
110,lezen,read,verb,1,26.6,A,everyday,"['gelezen', 'lees', 'leest', 'lezen', 'lezend']"
111,moeilijk,difficult,adjective,1,26.6,A,everyday,"['moeilijk', 'moeilijke', 'moeilijker', 'moeilijkst', 'moeilijkste']"
112,vergelijken,compare,verb,1,26.58,A,everyday,"['vergeleek', 'vergeleken', 'vergelijken', 'vergelijkend', 'vergelijkende', 'vergelijkt']"
113,praten,talk,verb,1,26.45,A,everyday,"['gepraat', 'praat', 'praten', 'pratend', 'pratende']"
114,tellen,count,verb,1,26.34,A,everyday,"['geteld', 'telde', 'tellen', 'tellend', 'tellende', 'telt']"
115,trainen,training,verb,1,26.34,A,everyday,"['getraind', 'getrainde', 'trainde', 'trainden', 'trainen', 'traint']"
116,zaak,case,noun,1,26.3,A,everyday,"['zaak', 'zaakje', 'zaakjes', 'zake', 'zaken']"
117,slecht,bad,adjective,1,26.2,A,everyday,"['slecht', 'slechte', 'slechter', 'slechtere', 'slechtste']"
118,stuk,piece,noun,1,26.2,A,everyday,"['stuk', 'stukje', 'stukjes', 'stukken', 'stuks']"
119,overtuigen,convincing,verb,1,26.16,A,everyday,"['overtuigd', 'overtuigde', 'overtuigen', 'overtuigend', 'overtuigende', 'overtuigt']"
120,gelukkig,happy,adjective,1,26.15,A,everyday,"['gelukkig', 'gelukkige', 'gelukkigen', 'gelukkiger', 'gelukkigste']"
121,plek,place,noun,1,26.15,A,everyday,"['plek', 'plekje', 'plekjes', 'plekke', 'plekken']"
122,stellen,of,verb,1,26.15,A,everyday,"['gesteld', 'gestelde', 'stelde', 'stellen', 'stelt']"
123,zwijgen,shut,verb,1,26.1,A,everyday,"['gezwegen', 'zweeg', 'zwijg', 'zwijgen', 'zwijgende', 'zwijgt']"
124,hart,heart,noun,1,26.0,A,everyday,"['hart', 'harte', 'harten', 'hartje', 'hartjes']"
125,tien,ten,numeral,1,26.0,A,everyday,"['tien', 'tiende', 'tienen', 'tientje', 'tientjes']"
126,stimuleren,stimulants,verb,1,25.92,A,everyday,"['gestimuleerd', 'stimuleerde', 'stimuleert', 'stimuleren', 'stimulerend', 'stimulerende']"
127,enkel,not,adverb,1,25.85,A,everyday,"['enkel', 'enkele', 'enkelen', 'enkels', 'enkeltje']"
128,bestaan,exist,verb,1,25.8,A,everyday,"['bestaan', 'bestaande', 'bestaat', 'bestond', 'bestonden']"
129,vallen,fall,verb,1,25.8,A,everyday,"['vallen', 'vallend', 'valt', 'viel', 'vielen']"
130,ver,far,adjective,1,25.75,A,everyday,"['ver', 'verder', 'verdere', 'vere', 'vers']"
131,hard,hard,adjective,1,25.75,A,everyday,"['hard', 'harde', 'harder', 'hardst', 'hardste']"
132,al,al,adverb,1,25.68,A,everyday,"['al', 'alle', 'allen', 'aller']"
133,rijden,drive,verb,1,25.65,A,everyday,"['gereden', 'reed', 'rijden', 'rijdend', 'rijdt']"
134,mijn,mine,pronoun,1,25.64,A,everyday,"[""m'n"", 'mijn', 'mijne', 'mijnen']"
135,voorkomen,avoid,verb,1,25.55,A,everyday,"['voorgekomen', 'voorkomen', 'voorkomend', 'voorkomende', 'voorkomt']"
136,nacht,night,noun,1,25.45,A,everyday,"['nacht', 'nachten', 'nachtje', 'nachtjes', 'nachts']"
137,roos,dandruff,noun,1,25.32,A,everyday,"['roos', 'roosen', 'roosje', 'roosjes', 'roze', 'rozen']"
138,stijgen,increase,verb,1,25.26,A,everyday,"['gestegen', 'steeg', 'stijgen', 'stijgend', 'stijgende', 'stijgt']"
139,dicht,closed,adjective,1,25.25,A,everyday,"['dicht', 'dichte', 'dichten', 'dichtst', 'dichtste']"
140,haar,hair,pronoun,1,25.2,A,everyday,"['haar', 'haartje', 'hare', 'haren']"
141,hoog,high,adjective,1,25.2,A,everyday,"['hoge', 'hoger', 'hogere', 'hoog', 'hoogste']"
142,gebeuren,event,verb,1,25.15,A,everyday,"['gebeurd', 'gebeurde', 'gebeurden', 'gebeuren', 'gebeurt']"
143,dragen,wear,verb,1,25.05,A,everyday,"['draagt', 'dragen', 'dragende', 'droeg', 'gedragen']"
144,verzorgen,care,verb,1,25.02,A,everyday,"['verzorg', 'verzorgd', 'verzorgde', 'verzorgen', 'verzorgende', 'verzorgt']"
145,leggen,lay,verb,1,25.0,A,everyday,"['gelegd', 'leg', 'legde', 'leggen', 'legt']"
146,pakken,grab,verb,1,24.95,A,everyday,"['gepakt', 'pakken', 'pakkend', 'pakkende', 'pakte']"
147,ontstaan,arise,verb,1,24.85,A,everyday,"['ontstaan', 'ontstaat', 'ontstane', 'ontstond', 'ontstonden']"
148,trekken,pull,verb,1,24.85,A,everyday,"['getrokken', 'trekken', 'trekt', 'trok', 'trokken']"
149,band,tyre,noun,1,24.8,A,everyday,"['band', 'banden', 'bandje', 'bandjes', 'bands']"
150,bouwen,build,verb,1,24.75,A,everyday,"['bouwde', 'bouwen', 'bouwt', 'gebouwd', 'gebouwde']"
151,zwaar,heavy,adjective,1,24.55,A,everyday,"['zwaar', 'zwaarder', 'zwaardere', 'zwaarste', 'zware']"
152,sluiten,close,verb,1,24.5,A,everyday,"['gesloten', 'sloot', 'sluiten', 'sluitend', 'sluitende']"
153,hopen,hops,verb,1,24.5,A,everyday,"['gehoopt', 'hoopt', 'hoopte', 'hopen', 'hopend']"
154,bellen,call,verb,1,24.45,A,everyday,"['bel', 'belde', 'bellen', 'belt', 'gebeld']"
155,vestigen,establish,verb,1,24.42,A,everyday,"['gevestigd', 'gevestigde', 'vestigde', 'vestigden', 'vestigen', 'vestigt']"
156,verkopen,sales,verb,1,24.4,A,everyday,"['verkocht', 'verkochte', 'verkoopt', 'verkopen', 'verkopende']"
157,dalen,decrease,verb,1,24.36,A,everyday,"['daalde', 'daalden', 'daalt', 'dalen', 'dalend', 'gedaald']"
158,vervangen,replace,verb,1,24.35,A,everyday,"['vervangen', 'vervangend', 'vervangende', 'vervangt', 'verving']"
159,voeren,feed,verb,1,24.35,A,everyday,"['gevoerd', 'voerde', 'voerden', 'voeren', 'voert']"
160,rijk,rich,adjective,1,24.3,A,everyday,"['rijk', 'rijke', 'rijken', 'rijker', 'rijkere']"
161,twee,two,numeral,1,24.24,A,everyday,"['twee', 'tweede', 'tweetjes', 'tweeën']"
162,grappig,funny,adjective,1,24.2,A,everyday,"['grappig', 'grappige', 'grappiger', 'grappigs', 'grappigste']"
163,echt,really,adjective,1,24.04,A,everyday,"['echt', 'echte', 'echten', 'écht']"
164,redden,save,verb,1,24.0,A,everyday,"['gered', 'red', 'redde', 'redden', 'reddende']"
165,lief,sweet,adjective,1,23.8,A,everyday,"['lief', 'liefje', 'liefjes', 'liefste', 'lieve']"
166,bezoeken,visits,verb,1,23.8,A,everyday,"['bezocht', 'bezochte', 'bezoeken', 'bezoekende', 'bezoekt']"
167,diep,deep,adjective,1,23.8,A,everyday,"['diep', 'diepe', 'dieper', 'diepst', 'diepste']"
168,regeren,rule,verb,1,23.76,A,everyday,"['geregeerd', 'regeerde', 'regeert', 'regeren', 'regerend', 'regerende']"
169,raken,hit,verb,1,23.65,A,everyday,"['geraakt', 'raakt', 'raakte', 'raakten', 'raken']"
170,wie,who,pronoun,1,23.56,A,everyday,"['wie', 'wiens', 'wier', 'wies']"
171,missen,miss,verb,1,23.55,A,everyday,"['gemist', 'missen', 'mist', 'miste', 'misten']"
172,hangen,hanging,verb,1,23.45,A,everyday,"['gehangen', 'hangen', 'hangend', 'hangende', 'hangt']"
173,leveren,supply,verb,1,23.4,A,everyday,"['geleverd', 'geleverde', 'leverden', 'leveren', 'levert']"
174,dreigen,threaten,verb,1,23.4,A,everyday,"['dreigde', 'dreigen', 'dreigend', 'dreigende', 'dreigt', 'gedreigd']"
175,beledigen,offend,verb,1,23.4,A,everyday,"['beledigd', 'beledigde', 'beledigen', 'beledigend', 'beledigende', 'beledigt']"
176,opereren,operating,verb,1,23.34,A,everyday,"['geopereerd', 'opereerde', 'opereert', 'opereren', 'opererend', 'opererende']"
177,uur,hours,noun,1,23.32,A,everyday,"['uren', 'uur', 'uurs', 'uurtje']"
178,bepalen,determine,verb,1,23.25,A,everyday,"['bepaald', 'bepaalde', 'bepaalt', 'bepalen', 'bepalend']"
179,antwoorden,answers,verb,1,23.2,A,everyday,"['antwoordde', 'antwoordden', 'antwoorden', 'antwoordt', 'geantwoord']"
180,herinneren,remember,verb,1,23.2,A,everyday,"['herinnerd', 'herinnerde', 'herinnerden', 'herinneren', 'herinnert']"
181,de,the,determiner,1,23.19,A,everyday,"['de', 'der', 'des']"
182,richten,aim,verb,1,23.15,A,everyday,"['gericht', 'gerichte', 'richten', 'richtte', 'richtten']"
183,verdwijnen,disappear,verb,1,23.05,A,everyday,"['verdween', 'verdwenen', 'verdwijnen', 'verdwijnende', 'verdwijnt']"
184,trouwen,marrying,noun,1,23.05,A,everyday,"['getrouwd', 'getrouwde', 'trouwde', 'trouwden', 'trouwt']"
185,doorbreken,break,verb,1,23.04,A,everyday,"['brak', 'doorbrak', 'doorbreekt', 'doorbreken', 'doorbroken', 'doorgebroken']"
186,openen,open,verb,1,23.0,A,everyday,"['geopend', 'geopende', 'opende', 'openen', 'opent']"
187,tekenen,draw,verb,1,23.0,A,everyday,"['getekend', 'tekende', 'tekenen', 'tekenend', 'tekent']"
188,huis,house,noun,1,22.92,A,everyday,"['huis', 'huisje', 'huisjes', 'huizen']"
189,vrouw,female,noun,1,22.92,A,everyday,"['vrouw', 'vrouwe', 'vrouwen', 'vrouwtje']"
190,erg,very,adjective,1,22.84,A,everyday,"['erg', 'erger', 'ergs', 'ergste']"
191,land,country,noun,1,22.76,A,everyday,"['land', 'landen', 'landje', 'lands']"
192,wijzen,sages,verb,1,22.75,A,everyday,"['gewezen', 'wees', 'wijst', 'wijzen', 'wijzend']"
193,vluchten,flights,verb,1,22.75,A,everyday,"['gevlucht', 'gevluchte', 'vluchten', 'vluchtende', 'vluchtte']"
194,behandelen,treatment,verb,1,22.65,A,everyday,"['behandeld', 'behandelden', 'behandelen', 'behandelend', 'behandelt']"
195,patiënt,patient,noun,1,22.55,A,everyday,"['patient', 'patienten', 'patiënt', 'patiënte', 'patiënten']"
196,herstellen,restore,verb,1,22.5,A,everyday,"['hersteld', 'herstelde', 'herstellen', 'herstellende', 'herstelt']"
197,studeren,study,verb,1,22.5,A,everyday,"['gestudeerd', 'studeerde', 'studeert', 'studeren', 'studerende']"
198,steunen,support,verb,1,22.45,A,everyday,"['gesteund', 'gesteunde', 'steunde', 'steunden', 'steunt']"
199,overlijden,death,verb,1,22.4,A,everyday,"['overleden', 'overleed', 'overlijden', 'overlijdens', 'overlijdt']"
200,huilen,crying,verb,1,22.4,A,everyday,"['huil', 'huilen', 'huilend', 'huilende', 'huilt']"
201,vangen,catch,verb,1,22.35,A,everyday,"['gevangen', 'gevangene', 'gevangenen', 'vangen', 'vangt']"
202,boer,farmer,noun,1,22.35,A,everyday,"['boer', 'boere', 'boeren', 'boers', 'boertje']"
203,ondersteunen,support,verb,1,22.35,A,everyday,"['ondersteun', 'ondersteund', 'ondersteunen', 'ondersteunend', 'ondersteunende']"
204,week,week,noun,1,22.32,A,everyday,"['week', 'weekje', 'weekjes', 'weken']"
205,springen,jump,verb,1,22.25,A,everyday,"['springen', 'springend', 'springende', 'springt', 'sprong']"
206,rond,round,preposition,1,22.24,A,everyday,"['rond', 'ronden', 'rondje', 'rondjes']"
207,en,and,conjunction,1,22.2,A,everyday,"['en', 'ende', 'én']"
208,uitvoeren,execute,verb,1,22.05,A,everyday,"['uitgevoerd', 'uitgevoerde', 'uitvoeren', 'uitvoerende', 'uitvoert']"
209,deelnemen,participate,verb,1,22.0,A,everyday,"['deelgenomen', 'deelnam', 'deelneemt', 'deelnemen', 'deelnemende']"
210,blijken,turns out,verb,1,21.95,A,everyday,"['bleek', 'bleken', 'blijken', 'blijkt', 'gebleken']"
211,verklaren,explain,verb,1,21.95,A,everyday,"['verklaard', 'verklaarde', 'verklaarden', 'verklaart', 'verklarende']"
212,bezorgen,delivery,verb,1,21.9,A,everyday,"['bezorgd', 'bezorgde', 'bezorgden', 'bezorgen', 'bezorgt']"
213,storen,disturbance,verb,1,21.78,A,everyday,"['gestoord', 'gestoorde', 'stoort', 'storen', 'storend', 'storende']"
214,artikel,article,noun,1,21.68,A,everyday,"['artikel', 'artikelen', 'artikels', 'artikeltje']"
215,vermoorden,killing,verb,1,21.65,A,everyday,"['vermoord', 'vermoordde', 'vermoorde', 'vermoorden', 'vermoordt']"
216,idee,idea,noun,1,21.64,A,everyday,"['idee', 'ideeen', 'ideetje', 'ideeën']"
217,verhaal,story,noun,1,21.6,A,everyday,"['verhaal', 'verhaaltje', 'verhaaltjes', 'verhalen']"
218,vernietigen,destroy,verb,1,21.6,A,everyday,"['vernietigd', 'vernietigde', 'vernietigend', 'vernietigende', 'vernietigt']"
219,hand,hand,noun,1,21.52,A,everyday,"['hand', 'handen', 'handje', 'handjes']"
220,bevestigen,confirm,verb,1,21.5,A,everyday,"['bevestigd', 'bevestigde', 'bevestigden', 'bevestigen', 'bevestigt']"
221,aankomen,arrive,verb,1,21.5,A,everyday,"['aangekomen', 'aankomen', 'aankomend', 'aankomt', 'aankwam']"
222,produceren,production,verb,1,21.5,A,everyday,"['geproduceerd', 'geproduceerde', 'produceerde', 'produceert', 'produceren']"
223,vermoeden,suspicion,noun,1,21.5,A,everyday,"['vermoed', 'vermoedde', 'vermoedden', 'vermoedens', 'vermoedt']"
